trip_id,arrival_time,departure_time,stop_id,stop_sequence,timepoint
4211500,16:20:00,16:20:00,1468522,0,1
4211500,,,12,1,1
4211500,,,11,2,1
4211500,,,10,3,1
4211500,,,56,4,1
4211500,,,57,5,1
4211500,,,9,6,1
4211500,,,55,7,1
4211500,,,5,8,1
4211500,,,6,9,1
4211500,,,7,10,1
4211500,,,1468523,11,1
4211500,,,4,12,1
4211500,,,3,13,1
4211500,16:56:00,16:56:00,2,14,1
4209268,07:15:00,07:15:00,1468522,0,1
4209268,07:18:00,07:18:00,12,1,1
4209268,07:20:00,07:20:00,11,2,1
4209268,07:24:00,07:24:00,10,3,1
4209268,07:27:00,07:27:00,56,4,1
4209268,07:30:00,07:30:00,57,5,1
4209268,07:32:00,07:32:00,9,6,1
4209268,07:36:00,07:36:00,55,7,1
4209268,,,5,8,1
4209268,07:38:00,07:38:00,6,9,1
4209268,07:40:00,07:40:00,7,10,1
4209268,07:42:00,07:42:00,1468523,11,1
4209268,07:44:00,07:44:00,4,12,1
4209268,07:46:00,07:46:00,3,13,1
4209268,07:51:00,07:51:00,2,14,1
4209268,07:55:00,08:10:00,1468524,15,1
4209268,08:15:00,08:15:00,21,16,1
4209268,08:18:00,08:18:00,22,17,1
4209268,08:23:00,08:23:00,18,18,1
4209268,08:26:00,08:26:00,19,19,1
4209268,08:30:00,08:30:00,1468525,20,1
4209268,08:35:00,08:35:00,1468526,21,1
4209268,08:40:00,08:40:00,16,22,1
4209268,08:42:00,08:42:00,17,23,1
4209268,08:44:00,08:44:00,15,24,1
4209268,08:46:00,08:46:00,14,25,1
4209268,08:50:00,08:50:00,20,26,1
4209268,09:00:00,09:00:00,1468522,27,1
4209269,09:00:00,09:00:00,1468522,0,1
4209269,09:03:00,09:03:00,12,1,1
4209269,09:05:00,09:05:00,11,2,1
4209269,09:09:00,09:09:00,10,3,1
4209269,09:12:00,09:12:00,56,4,1
4209269,09:15:00,09:15:00,57,5,1
4209269,09:17:00,09:17:00,9,6,1
4209269,09:21:00,09:21:00,55,7,1
4209269,,,5,8,1
4209269,09:23:00,09:23:00,6,9,1
4209269,09:25:00,09:25:00,7,10,1
4209269,09:27:00,09:27:00,1468523,11,1
4209269,09:29:00,09:29:00,4,12,1
4209269,09:31:00,09:31:00,3,13,1
4209269,09:36:00,09:36:00,2,14,1
4209269,09:40:00,09:55:00,1468524,15,1
4209269,10:00:00,10:00:00,21,16,1
4209269,10:03:00,10:03:00,22,17,1
4209269,10:08:00,10:08:00,18,18,1
4209269,10:11:00,10:11:00,19,19,1
4209269,10:15:00,10:15:00,1468525,20,1
4209269,10:20:00,10:20:00,1468526,21,1
4209269,10:25:00,10:25:00,16,22,1
4209269,10:27:00,10:27:00,17,23,1
4209269,10:29:00,10:29:00,15,24,1
4209269,10:31:00,10:31:00,14,25,1
4209269,10:35:00,10:35:00,20,26,1
4209269,10:45:00,10:45:00,1468522,27,1
4211501,14:25:00,14:25:00,1468522,0,1
4211501,14:28:00,14:28:00,12,1,1
