trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,shape_id,wheelchair_accessible,bikes_allowed,block_id,block_name
4211500,41917,75567,Loop,,0,137962 137962,1,,1,1
4209268,41917,75567,Loop,,0,137991 137991,1,,1,1
4209269,41917,75567,Loop,,0,137991 137991,1,,1,1
4211501,41917,75567,Loop,,0,137991 137991,1,,1,1
4211499,41917,75567,Loop,,0,137992 137992,1,,1,1
4211498,41917,75567,Loop,,0,141238 141238,1,,1,1
4211529,41918,75567,Loop,,0,137959 137959,1,,2,2
4211530,41918,75567,Loop,,0,137959 137959,1,,2,2
4211531,41918,75567,Loop,,0,137959 137959,1,,2,2
4211532,41918,75567,Loop,,0,137959 137959,1,,2,2
4211533,41918,75567,Loop,,0,137960 137960,1,,2,2
4211534,41918,75567,Loop,,0,137961 137961,1,,2,2
4211505,41921,75566,Westminster BERC,,0,137993 137993,1,,5,5
4211506,41921,75566,Westminster BERC,,0,137993 137993,1,,5,5
4211507,41921,75566,Westminster BERC,,0,137993 137993,1,,5,5
4211508,41921,75566,Westminster BERC,,0,137993 137993,1,,5,5
4211510,41921,75566,Westminster BERC,,0,137993 137993,1,,5,5
4211511,41921,75566,Eldersburg,,1,137995 137995,1,,5,5
4211512,41921,75566,Eldersburg,,1,137995 137995,1,,5,5
4211513,41921,75566,Eldersburg,,1,137995 137995,1,,5,5
4211514,41921,75566,Eldersburg,,1,137995 137995,1,,5,5
6035234,41921,75566,Eldersburg,,1,137995 137995,1,,,
4211551,41922,75566,Westminster BERC,,0,138016 138016,1,,6,6
4211552,41922,75566,Westminster BERC,,0,138016 138016,1,,6,6
4211553,41922,75566,Westminster BERC,,0,138016 138016,1,,6,6
4211554,41922,75566,Westminster BERC,,0,138016 138016,1,,6,6
4211550,41922,75566,Westminster BERC,,0,138017 138017,1,,6,6
4211559,41922,75566,Westminster BERC,,0,138018 138018,1,,6,6
4211555,41922,75566,Manchester Manor,,1,138019 138019,1,,6,6
4211556,41922,75566,Manchester Manor,,1,138019 138019,1,,6,6
4211557,41922,75566,Manchester Manor,,1,138019 138019,1,,6,6
4211558,41922,75566,Manchester Manor,,1,138019 138019,1,,6,6
6030189,41919,75566,Taneytown,Green7am,0,GreenAM,,,,
6030191,41919,75566,Taneytown,AM8,0,GreenLoop,1,,,
6030193,41919,75566,Taneytown,PM2,0,GreenLoop,1,,,
6030194,41919,75566,Taneytown,Green1PM,0,GreenLoopLunch,,,,
6030195,41919,75566,Taneytown,Green10am,0,GreenLoopAlt1,,,,
6030196,41919,75566,Taneytown,Green4pm,0,GreenLoopAlt1,,,,
6034014,41920,75566,South Carroll,Red755,0,RED_GM,1,,,
6034015,41920,75566,South Carroll,Red935,0,RED_GM,1,,,
6034016,41920,75566,South Carroll,Red1237,0,RED_GM,1,,,
6034017,41920,75566,South Carroll,Red1432,0,RED_GM,1,,,
6035228,41920,75566,South Carroll,Red700,0,Red_NOGM,1,,,
6035229,41920,75566,South Carroll,Red845,0,Red_NOGM,1,,,
6035230,41920,75566,South Carroll,Red1332,0,Red_NOGM,1,,,
6035231,41920,75566,South Carroll,Red1527,0,Red_NOGM,1,,,
6035232,41920,75566,South Carroll,Red1030,0,Red_1030,1,,,
6035233,41920,75566,South Carroll,Red1210,0,Red_Lunch,1,,,
6035235,41921,75566,Eldersburg,Blue_1210,0,BlueLunch,1,,,
6035236,41921,75566,Carroll Community College,Blue_430,0,BluePM,1,,,
