trip_id,arrival_time,departure_time,stop_id,stop_sequence,timepoint
0530_Dec 20 2018  5:49:35:487PM_2_20190114_99991231_20190114_99991231,05:30:00,05:30:00,Harford Mall (near Greene Turtle - 696 Bel Air Rd)_Harford Mall (near Greene Turtle - 696 Bel Air Rd)_39.525643_-76.358935,0,1
0530_Dec 20 2018  5:49:35:487PM_2_20190114_99991231_20190114_99991231,05:32:00,05:32:00,South Kelly Ave & Boulton St_South Kelly Ave & Boulton St_39.529863_-76.354807,1,1
0530_Dec 20 2018  5:49:35:487PM_2_20190114_99991231_20190114_99991231,05:49:00,05:49:00,Harford Community College (Entrance 2)_Harford Community College (Entrance 2)_39.561372_-76.286824,2,1
0530_Dec 20 2018  5:49:35:487PM_2_20190114_99991231_20190114_99991231,05:51:00,05:51:00,Harford Community College (Fallston Hall)_Harford Community College (Fallston Hall)_39.561558_-76.285127,3,1
0530_Dec 20 2018  5:49:35:487PM_2_20190114_99991231_20190114_99991231,05:52:00,05:52:00,Harford Community College (Aberdeen Hall)_Harford Community College (Aberdeen Hall)_39.561890_-76.282197,4,1
0530_Dec 20 2018  5:49:35:487PM_2_20190114_99991231_20190114_99991231,05:55:00,05:55:00,Grace Assembly of God (2303 Churchville Rd/Rt 22)_Grace Assembly of God (2303 Churchville Rd/Rt 22)_39.555193_-76.276809,5,1
0530_Dec 20 2018  5:49:35:487PM_2_20190114_99991231_20190114_99991231,05:56:00,05:56:00,Harman's Farm Market (2633 Churchville Rd/Rt 22)_Harman's Farm Market (2633 Churchville Rd/Rt 22)_39.556190_-76.263553,6,1
0530_Dec 20 2018  5:49:35:487PM_2_20190114_99991231_20190114_99991231,05:59:00,05:59:00,Smith's Chapel (3111 Churchville Rd/Rt 22)_Smith's Chapel (3111 Churchville Rd/Rt 22)_39.552780_-76.237420,7,1
0530_Dec 20 2018  5:49:35:487PM_2_20190114_99991231_20190114_99991231,06:00:00,06:00:00,Lohr's Produce Stand (Churchville Rd/Rt 22)_Lohr's Produce Stand (Churchville Rd/Rt 22)_39.541736_-76.232837,8,1
0530_Dec 20 2018  5:49:35:487PM_2_20190114_99991231_20190114_99991231,06:01:00,06:01:00,Adam's Jeep (3485 Churchville Rd/Rt 22)_Adam's Jeep (3485 Churchville Rd/Rt 22)_39.537609_-76.214576,9,1
0530_Dec 20 2018  5:49:35:487PM_2_20190114_99991231_20190114_99991231,06:08:00,06:08:00,ShopRite (Beard’s Hill Shopping Ctr)_ShopRite (Beard’s Hill Shopping Ctr)_39.524842_-76.180534,10,1
0530_Dec 20 2018  5:49:35:487PM_2_20190114_99991231_20190114_99991231,06:11:00,06:11:00,Saxon's  Diamond Center (1013 Beards Hill Rd)_Saxon's  Diamond Center (1013 Beards Hill Rd)_39.520326_-76.185592,11,1
0530_Dec 20 2018  5:49:35:487PM_2_20190114_99991231_20190114_99991231,06:13:00,06:13:00,Ollie's (Aberdeen Shopping Plaza)_Ollie's (Aberdeen Shopping Plaza)_39.521086_-76.189540,12,1
0530_Dec 20 2018  5:49:35:487PM_2_20190114_99991231_20190114_99991231,06:14:00,06:14:00,Fairbrooke Senior Housing_Fairbrooke Senior Housing_39.518526_-76.183345,13,1
0530_Dec 20 2018  5:49:35:487PM_2_20190114_99991231_20190114_99991231,06:16:00,06:16:00,Aberdeen Food Park (W Bel Air Ave & Baker St)_Aberdeen Food Park (W Bel Air Ave & Baker St)_39.512287_-76.170352,14,1
0530_Dec 20 2018  5:49:35:487PM_2_20190114_99991231_20190114_99991231,06:19:00,06:19:00,Aberdeen Train Station (Pulaski Hwy/US 40)_Aberdeen Train Station (Pulaski Hwy/US 40)_39.509126_-76.162975,15,1
0530_Dec 20 2018  5:49:35:487PM_2_20190114_99991231_20190114_99991231,06:34:00,06:34:00,J&K Trailer Park (Old Post Rd)_J&K Trailer Park (Old Post Rd)_39.517877_-76.143917,16,1
0530_Dec 20 2018  5:49:35:487PM_2_20190114_99991231_20190114_99991231,06:35:00,06:35:00,Old Post Rd & Oakington Rd (at crosswalk)_Old Post Rd & Oakington Rd (at crosswalk)_39.523031_-76.137552,17,1
