stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
Harford Mall (near Greene Turtle - 696 Bel Air Rd)_Harford Mall (near Greene Turtle - 696 Bel Air Rd)_39.525643_-76.358935,,Harford Mall (near Greene Turtle - 696 Bel Air Rd),,39.525643,-76.358935,,0,,,
South Kelly Ave & Boulton St_South Kelly Ave & Boulton St_39.529863_-76.354807,,South Kelly Ave & Boulton St,,39.529863,-76.354807,,0,,,
Harford Community College (Entrance 2)_Harford Community College (Entrance 2)_39.561372_-76.286824,,Harford Community College (Entrance 2),,39.561372,-76.286824,,0,,,
Harford Community College (Fallston Hall)_Harford Community College (Fallston Hall)_39.561558_-76.285127,,Harford Community College (Fallston Hall),,39.561558,-76.285127,,0,,,
Harford Community College (Aberdeen Hall)_Harford Community College (Aberdeen Hall)_39.561890_-76.282197,,Harford Community College (Aberdeen Hall),,39.56189,-76.282197,,0,,,
Grace Assembly of God (2303 Churchville Rd/Rt 22)_Grace Assembly of God (2303 Churchville Rd/Rt 22)_39.555193_-76.276809,,Grace Assembly of God (2303 Churchville Rd/Rt 22),,39.555193,-76.276809,,0,,,
Harman's Farm Market (2633 Churchville Rd/Rt 22)_Harman's Farm Market (2633 Churchville Rd/Rt 22)_39.556190_-76.263553,,Harman's Farm Market (2633 Churchville Rd/Rt 22),,39.55619,-76.263553,,0,,,
Smith's Chapel (3111 Churchville Rd/Rt 22)_Smith's Chapel (3111 Churchville Rd/Rt 22)_39.552780_-76.237420,,Smith's Chapel (3111 Churchville Rd/Rt 22),,39.55278,-76.23742,,0,,,
Lohr's Produce Stand (Churchville Rd/Rt 22)_Lohr's Produce Stand (Churchville Rd/Rt 22)_39.541736_-76.232837,,Lohr's Produce Stand (Churchville Rd/Rt 22),,39.541736,-76.232837,,0,,,
Adam's Jeep (3485 Churchville Rd/Rt 22)_Adam's Jeep (3485 Churchville Rd/Rt 22)_39.537609_-76.214576,,Adam's Jeep (3485 Churchville Rd/Rt 22),,39.537609,-76.214576,,0,,,
ShopRite (Beard’s Hill Shopping Ctr)_ShopRite (Beard’s Hill Shopping Ctr)_39.524842_-76.180534,,ShopRite (Beard’s Hill Shopping Ctr),,39.524842,-76.180534,,0,,,
Saxon's  Diamond Center (1013 Beards Hill Rd)_Saxon's  Diamond Center (1013 Beards Hill Rd)_39.520326_-76.185592,,Saxon's  Diamond Center (1013 Beards Hill Rd),,39.520326,-76.185592,,0,,,
Ollie's (Aberdeen Shopping Plaza)_Ollie's (Aberdeen Shopping Plaza)_39.521086_-76.189540,,Ollie's (Aberdeen Shopping Plaza),,39.521086,-76.18954,,0,,,
Fairbrooke Senior Housing_Fairbrooke Senior Housing_39.518526_-76.183345,,Fairbrooke Senior Housing,,39.518526,-76.183345,,0,,,
Aberdeen Food Park (W Bel Air Ave & Baker St)_Aberdeen Food Park (W Bel Air Ave & Baker St)_39.512287_-76.170352,,Aberdeen Food Park (W Bel Air Ave & Baker St),,39.512287,-76.170352,,0,,,
Aberdeen Train Station (Pulaski Hwy/US 40)_Aberdeen Train Station (Pulaski Hwy/US 40)_39.509126_-76.162975,,Aberdeen Train Station (Pulaski Hwy/US 40),,39.509126,-76.162975,,0,,,
J&K Trailer Park (Old Post Rd)_J&K Trailer Park (Old Post Rd)_39.517877_-76.143917,,J&K Trailer Park (Old Post Rd),,39.517877,-76.143917,,0,,,
Old Post Rd & Oakington Rd (at crosswalk)_Old Post Rd & Oakington Rd (at crosswalk)_39.523031_-76.137552,,Old Post Rd & Oakington Rd (at crosswalk),,39.523031,-76.137552,,0,,,
Freedom Federal Credit Union (1830 Pulaski Hwy/US 40)_Freedom Federal Credit Union (1830 Pulaski Hwy/US 40)_39.530727_-76.124962,,Freedom Federal Credit Union (1830 Pulaski Hwy/US 40),,39.530727,-76.124962,,0,,,
Post Rd & Old Bay Ln_Post Rd & Old Bay Ln_39.537176_-76.111693,,Post Rd & Old Bay Ln,,39.537176,-76.111693,,0,,,
Family Dollar (Revolution St & Seneca Ave)_Family Dollar (Revolution St & Seneca Ave)_39.540977_-76.103882,,Family Dollar (Revolution St & Seneca Ave),,39.540977,-76.103882,,0,,,
Howard Bank (800 Revolution St)_Howard Bank (800 Revolution St)_39.543427_-76.097694,,Howard Bank (800 Revolution St),,39.543427,-76.097694,,0,,,
Harford Memorial Hospital (Union Ave & Revolution St)_Harford Memorial Hospital (Union Ave & Revolution St)_39.543451_-76.091314,,Harford Memorial Hospital (Union Ave & Revolution St),,39.543451,-76.091314,,0,,,
The Graw Senior Housing (100 Revolution St)_The Graw Senior Housing (100 Revolution St)_39.543587_-76.085805,,The Graw Senior Housing (100 Revolution St),,39.543587,-76.085805,,0,,,
Bomboy's Homemade Candy Store (Girard St & Market St)_Bomboy's Homemade Candy Store (Girard St & Market St)_39.544675_-76.087673,,Bomboy's Homemade Candy Store (Girard St & Market St),,39.544675,-76.087673,,0,,,
Fire Station No. 2 (125 N Union Ave)_Fire Station No. 2 (125 N Union Ave)_39.548564_-76.091605,,Fire Station No. 2 (125 N Union Ave),,39.548564,-76.091605,,0,,,
Otsego St & Adams St__39.552791_-76.095278,,Otsego St & Adams St,,39.552791,-76.095278,,0,,,
McDonald's (Legion Dr & Otsego St)_McDonald's (Legion Dr & Otsego St)_39.552733_-76.100584,,McDonald's (Legion Dr & Otsego St),,39.552733,-76.100584,,0,,,
Tractor Supply (1040 Beards Hill Rd)_Tractor Supply (1040 Beards Hill Rd)_39.521429_-76.184795,,Tractor Supply (1040 Beards Hill Rd),,39.521429,-76.184795,,0,,,
Kroh's Nursery  (3308 Churchville Rd/Rt 22)_Kroh's Nursery  (3308 Churchville Rd/Rt 22)_39.541789_-76.232551,,Kroh's Nursery  (3308 Churchville Rd/Rt 22),,39.541789,-76.232551,,0,,,
John Archer School (100 Thomas Run Rd)_John Archer School (100 Thomas Run Rd)_39.556922_-76.286367,,John Archer School (100 Thomas Run Rd),,39.556922,-76.286367,,0,,,
Churchville Rd/Rt 22 & Andreas Dr_Churchville Rd/Rt 22 & Andreas Dr_39.548026_-76.309334,,Churchville Rd/Rt 22 & Andreas Dr,,39.548026,-76.309334,,0,,,
Churchville Rd/Rt 22 & Giles St_Churchville Rd/Rt 22 & Giles St_39.536413_-76.344634,,Churchville Rd/Rt 22 & Giles St,,39.536413,-76.344634,,0,,,
Harford County Health Dept (Hays St & Thomas St)_Harford County Health Dept (Hays St & Thomas St)_39.532956_-76.350213,,Harford County Health Dept (Hays St & Thomas St),,39.532956,-76.350213,,0,,,
Legion Dr & Ontario St_Legion Dr & Ontario St_39.554062_-76.100212,,Legion Dr & Ontario St,,39.554062,-76.100212,,0,,,
Havre de Grace Library (120 N Union Ave)_Havre de Grace Library (120 N Union Ave)_39.548862_-76.091441,,Havre de Grace Library (120 N Union Ave),,39.548862,-76.091441,,0,,,
E Z Quick Mart (801 Revolution St)_E Z Quick Mart (801 Revolution St)_39.543451_-76.096941,,E Z Quick Mart (801 Revolution St),,39.543451,-76.096941,,0,,,
Pat's Pizza (Revolution St & Village Dr)_Pat's Pizza (Revolution St & Village Dr)_39.540742_-76.104381,,Pat's Pizza (Revolution St & Village Dr),,39.540742,-76.104381,,0,,,
Lorien Bulle Rock (Pulaski Hwy/US 40)_Lorien Bulle Rock (Pulaski Hwy/US 40)_39.532265_-76.122428,,Lorien Bulle Rock (Pulaski Hwy/US 40),,39.532265,-76.122428,,0,,,
Northside (on Pulaski Hwy/US 40)_Northside (on Pulaski Hwy/US 40)_39.513276_-76.161236,,Northside (on Pulaski Hwy/US 40),,39.513276,-76.161236,,0,,,
Dollar Tree - Greenbrier Shopping Plaza - WB_Greenbrier Shopping Plaza/Safeway Westbound_39.542120_-76.324530,,Dollar Tree - Greenbrier Shopping Plaza - WB,Greenbrier Shopping Plaza/Safeway Westbound,39.54212,-76.32453,,0,,,
Edgewood High School (stop is on Willoughby Beach Rd)_Edgewood High School (stop is on Willoughby Beach Rd)_39.424257_-76.288814,,Edgewood High School (stop is on Willoughby Beach Rd),,39.424257,-76.288814,,0,,,
Laburnum Rd & Willoughby Beach Rd_Laburnum Rd & Willoughby Beach Rd_39.433709_-76.273266,,Laburnum Rd & Willoughby Beach Rd,,39.433709,-76.273266,,0,,,
Willoughby Beach Rd & Sequoia Dr_Willoughby Beach Rd & Sequoia Dr_39.424950_-76.287194,,Willoughby Beach Rd & Sequoia Dr,,39.42495,-76.287194,,0,,,
Nuttal Ave & Edgewood Rd (closest stop to MARC train station)__39.418611_-76.294076,,Nuttal Ave & Edgewood Rd (closest stop to MARC train station),,39.418611,-76.294076,,0,,,
Harford Commons (McCann St & Starr St)_Harford Commons (McCann St & Starr St)_39.416408_-76.300180,,Harford Commons (McCann St & Starr St),,39.416408,-76.30018,,0,,,
Harford Commons (McCann St & Trimble Rd)_Harford Commons (McCann St & Trimble Rd)_39.418606_-76.300900,,Harford Commons (McCann St & Trimble Rd),,39.418606,-76.3009,,0,,,
Kohl's (Trimble Rd & Trimblefields Dr )_Kohl's (Trimble Rd & Trimblefields Dr )_39.417728_-76.305679,,Kohl's (Trimble Rd & Trimblefields Dr ),,39.417728,-76.305679,,0,,,
Windsor Valley (525 Meadowood Dr)_Windsor Valley (525 Meadowood Dr)_39.423979_-76.312397,,Windsor Valley (525 Meadowood Dr),,39.423979,-76.312397,,0,,,
Meadowood Dr & Hanson Rd_Meadowood Dr & Hanson Rd_39.422813_-76.322363,,Meadowood Dr & Hanson Rd,,39.422813,-76.322363,,0,,,
Harford Square Dr & F Ct/D Ct_Harford Square Dr & F Ct/D Ct_39.420977_-76.316636,,Harford Square Dr & F Ct/D Ct,,39.420977,-76.316636,,0,,,
Harford Square Swim Club (1493 Harford Square Dr)_Harford Square Swim Club (1493 Harford Square Dr)_39.420401_-76.320274,,Harford Square Swim Club (1493 Harford Square Dr),,39.420401,-76.320274,,0,,,
Woodbridge Center Way & Rainbow Way_Woodbridge Center Way & Rainbow Way_39.424394_-76.322789,,Woodbridge Center Way & Rainbow Way,,39.424394,-76.322789,,0,,,
Woodbridge Center Way & Swallow Crest Dr_Woodbridge Center Way & Swallow Crest Dr_39.429613_-76.325021,,Woodbridge Center Way & Swallow Crest Dr,,39.429613,-76.325021,,0,,,
Popeyes (1011 Woodbridge Center Way)_Popeyes (1011 Woodbridge Center Way)_39.432384_-76.327416,,Popeyes (1011 Woodbridge Center Way),,39.432384,-76.327416,,0,,,
Giovanni's Restaurant (2101 Pulaski Hwy/US 40)_Giovanni's Restaurant (2101 Pulaski Hwy/US 40)_39.436029_-76.308877,,Giovanni's Restaurant (2101 Pulaski Hwy/US 40),,39.436029,-76.308877,,0,,,
Trident Auto (Philadelphia Rd/Rt 7 & Edgewood Rd)_Trident Auto (Philadelphia Rd/Rt 7 & Edgewood Rd)_39.445606_-76.308215,,Trident Auto (Philadelphia Rd/Rt 7 & Edgewood Rd),,39.445606,-76.308215,,0,,,
Stella May Contracting (1512 Edgewood Rd)_Stella May Contracting (1512 Edgewood Rd)_39.448336_-76.310437,,Stella May Contracting (1512 Edgewood Rd),,39.448336,-76.310437,,0,,,
Emmorton Business Ctr (Edgewood Rd & Rt 24)_Emmorton Business Ctr (Edgewood Rd & Rt 24)_39.451846_-76.308117,,Emmorton Business Ctr (Edgewood Rd & Rt 24),,39.451846,-76.308117,,0,,,
The Point (Roundabout at Tollgate Rd & Westover Ln)_The Point (Roundabout at Tollgate Rd & Westover Ln)_39.468591_-76.321642,,The Point (Roundabout at Tollgate Rd & Westover Ln),,39.468591,-76.321642,,0,,,
Lowe's/Extra Space Storage (Constant Friendship Blvd)_Lowe's/Extra Space Storage (Constant Friendship Blvd)_39.459131_-76.317751,,Lowe's/Extra Space Storage (Constant Friendship Blvd),,39.459131,-76.317751,,0,,,
BJ's (Constant Friendship Blvd near circle)_BJ's (Constant Friendship Blvd near circle)_39.455439_-76.318780,,BJ's (Constant Friendship Blvd near circle),,39.455439,-76.31878,,0,,,
WaWa Food Market (3518 Woodsdale Rd)_WaWa Food Market (3518 Woodsdale Rd)_39.466113_-76.311070,,WaWa Food Market (3518 Woodsdale Rd),,39.466113,-76.31107,,0,,,
Woodsdale Senior Housing (Woodsdale Rd & Penny Ln)_Woodsdale Senior Housing (Woodsdale Rd & Penny Ln)_39.459948_-76.306377,,Woodsdale Senior Housing (Woodsdale Rd & Penny Ln),,39.459948,-76.306377,,0,,,
Woodsdale Apts (Woodsdale Rd & Waldon Rd)_Woodsdale Apts (Woodsdale Rd & Waldon Rd)_39.462163_-76.308023,,Woodsdale Apts (Woodsdale Rd & Waldon Rd),,39.462163,-76.308023,,0,,,
Catholic Charities SB (opposite 3001 St. Clair Ln)_Catholic Charities SB (opposite 3001 St. Clair Ln)_39.477795_-76.312248,,Catholic Charities SB (opposite 3001 St. Clair Ln),,39.477795,-76.312248,,0,,,
Emmorton Rd & Holly Wreath Ct_Emmorton Rd & Holly Wreath Ct_39.485875_-76.315865,,Emmorton Rd & Holly Wreath Ct,,39.485875,-76.315865,,0,,,
A.C. Moore (Festival at Bel Air)_A.C. Moore (Festival at Bel Air)_39.495529_-76.325516,,A.C. Moore (Festival at Bel Air),,39.495529,-76.325516,,0,,,
Sonic (1921 Emmorton Rd)_Lorien at Bel Air Northbound_39.503920_-76.327205,,Sonic (1921 Emmorton Rd),Lorien at Bel Air Northbound,39.50392,-76.327205,,0,,,
