trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,shape_id,wheelchair_accessible,bikes_allowed,block_id,block_name
0530_Dec 20 2018  5:49:35:487PM_2_20190114_99991231_20190114_99991231,Route 1 - Green Line_Route 1 - Green Line_Havre de Grace to Belair_FF00A500,20190114_99991231_1000000,Havre de Grace,,1,1 - Mall to McDonald's_Jan  3 2019  3:39:30:830PM 141823,,,27562,green-3
0530 - Copy_2_20190114_99991231_20190114_99991231,Route 1 - Green Line_Route 1 - Green Line_Havre de Grace to Belair_FF00A500,20190114_99991231_1000000,Havre de Grace,,1,1 - Mall to McDonald's_Jan  3 2019  3:39:30:830PM 141823,,,27560,green-1
0530 - Copy (2)_2_20190114_99991231_20190114_99991231,Route 1 - Green Line_Route 1 - Green Line_Havre de Grace to Belair_FF00A500,20190114_99991231_1000000,Havre de Grace,,1,1 - Mall to McDonald's_Jan  3 2019  3:39:30:830PM 141823,,,27561,green-2
0530 - Copy (3)_2_20190114_99991231_20190114_99991231,Route 1 - Green Line_Route 1 - Green Line_Havre de Grace to Belair_FF00A500,20190114_99991231_1000000,Havre de Grace,,1,1 - Mall to McDonald's_Jan  3 2019  3:39:30:830PM 141823,,,27562,green-3
0530 - Copy_Dec 20 2018  5:51:29:353PM_2_20190114_99991231_20190114_99991231,Route 1 - Green Line_Route 1 - Green Line_Havre de Grace to Belair_FF00A500,20190114_99991231_1000000,Havre de Grace,,1,1 - Mall to McDonald's_Jan  3 2019  3:39:30:830PM 141823,,,27560,green-1
0530 - Copy (2)_Dec 20 2018  5:51:29:367PM_2_20190114_99991231_20190114_99991231,Route 1 - Green Line_Route 1 - Green Line_Havre de Grace to Belair_FF00A500,20190114_99991231_1000000,Havre de Grace,,1,1 - Mall to McDonald's_Jan  3 2019  3:39:30:830PM 141823,,,27561,green-2
0530 - Copy (3)_Dec 20 2018  5:51:29:380PM_2_20190114_99991231_20190114_99991231,Route 1 - Green Line_Route 1 - Green Line_Havre de Grace to Belair_FF00A500,20190114_99991231_1000000,Havre de Grace,,1,1 - Mall to McDonald's_Jan  3 2019  3:39:30:830PM 141823,,,27562,green-3
0530 - Copy (4)_2_20190114_99991231_20190114_99991231,Route 1 - Green Line_Route 1 - Green Line_Havre de Grace to Belair_FF00A500,20190114_99991231_1000000,Havre de Grace,,1,1 - Mall to McDonald's_Jan  3 2019  3:39:30:830PM 141823,,,27560,green-1
0530 - Copy (5)_2_20190114_99991231_20190114_99991231,Route 1 - Green Line_Route 1 - Green Line_Havre de Grace to Belair_FF00A500,20190114_99991231_1000000,Havre de Grace,,1,1 - Mall to McDonald's_Jan  3 2019  3:39:30:830PM 141823,,,27561,green-2
0530 - Copy (6)_2_20190114_99991231_20190114_99991231,Route 1 - Green Line_Route 1 - Green Line_Havre de Grace to Belair_FF00A500,20190114_99991231_1000000,Havre de Grace,,1,1 - Mall to McDonald's_Jan  3 2019  3:39:30:830PM 141823,,,27562,green-3
0530 - Copy (7)_2_20190114_99991231_20190114_99991231,Route 1 - Green Line_Route 1 - Green Line_Havre de Grace to Belair_FF00A500,20190114_99991231_1000000,Havre de Grace,,1,1 - Mall to McDonald's_Jan  3 2019  3:39:30:830PM 141823,,,27560,green-1
0530 - Copy_Dec 20 2018  5:54:37:120PM_2_20190114_99991231_20190114_99991231,Route 1 - Green Line_Route 1 - Green Line_Havre de Grace to Belair_FF00A500,20190114_99991231_1000000,Havre de Grace,,1,1 - Mall to McDonald's_Jan  3 2019  3:39:30:830PM 141823,,,27561,green-2
0530 - Copy (2)_Dec 20 2018  5:54:37:140PM_2_20190114_99991231_20190114_99991231,Route 1 - Green Line_Route 1 - Green Line_Havre de Grace to Belair_FF00A500,20190114_99991231_1000000,Havre de Grace,,1,1 - Mall to McDonald's_Jan  3 2019  3:39:30:830PM 141823,,,27562,green-3
0530 - Copy (3)_Dec 20 2018  5:54:37:150PM_2_20190114_99991231_20190114_99991231,Route 1 - Green Line_Route 1 - Green Line_Havre de Grace to Belair_FF00A500,20190114_99991231_1000000,Havre de Grace,,1,1 - Mall to McDonald's_Jan  3 2019  3:39:30:830PM 141823,,,27560,green-1
0530_2_20190114_99991231_20190114_99991231,Route 1 - Green Line_Route 1 - Green Line_Havre de Grace to Belair_FF00A500,20190114_99991231_1000000,Havre de Grace,,1,1 - Train Station to McDonald's 141824,,,27561,green-2
0535_2_20190114_99991231_20190114_99991231,Route 1 - Green Line_Route 1 - Green Line_Havre de Grace to Belair_FF00A500,20190114_99991231_1000000,Bel Air,green-1,0,1 - Train Station to Mall 141825,,,27560,green-1
0600_Dec 20 2018  4:26:39:007PM_2_20190114_99991231_20190114_99991231,Route 1 - Green Line_Route 1 - Green Line_Havre de Grace to Belair_FF00A500,20190114_99991231_1000000,Bel Air,,0,1 - McDonald's to Mall_Jan  3 2019  3:49:08:223PM 141826,,,27561,green-2
0600 - Copy_Dec 20 2018  4:31:54:793PM_2_20190114_99991231_20190114_99991231,Route 1 - Green Line_Route 1 - Green Line_Havre de Grace to Belair_FF00A500,20190114_99991231_1000000,Bel Air,,0,1 - McDonald's to Mall_Jan  3 2019  3:49:08:223PM 141826,,,27562,green-3
0600 - Copy (2)_2_20190114_99991231_20190114_99991231,Route 1 - Green Line_Route 1 - Green Line_Havre de Grace to Belair_FF00A500,20190114_99991231_1000000,Bel Air,green-1,0,1 - McDonald's to Mall_Jan  3 2019  3:49:08:223PM 141826,,,27560,green-1
0600 - Copy (2)_Dec 20 2018  5:19:33:070PM_2_20190114_99991231_20190114_99991231,Route 1 - Green Line_Route 1 - Green Line_Havre de Grace to Belair_FF00A500,20190114_99991231_1000000,Bel Air,,0,1 - McDonald's to Mall_Jan  3 2019  3:49:08:223PM 141826,,,27561,green-2
0600 - Copy (3)_2_20190114_99991231_20190114_99991231,Route 1 - Green Line_Route 1 - Green Line_Havre de Grace to Belair_FF00A500,20190114_99991231_1000000,Bel Air,,0,1 - McDonald's to Mall_Jan  3 2019  3:49:08:223PM 141826,,,27562,green-3
0600 - Copy (4)_2_20190114_99991231_20190114_99991231,Route 1 - Green Line_Route 1 - Green Line_Havre de Grace to Belair_FF00A500,20190114_99991231_1000000,Bel Air,green-1,0,1 - McDonald's to Mall_Jan  3 2019  3:49:08:223PM 141826,,,27560,green-1
0600 - Copy (5)_2_20190114_99991231_20190114_99991231,Route 1 - Green Line_Route 1 - Green Line_Havre de Grace to Belair_FF00A500,20190114_99991231_1000000,Bel Air,,0,1 - McDonald's to Mall_Jan  3 2019  3:49:08:223PM 141826,,,27561,green-2
0600 - Copy (6)_2_20190114_99991231_20190114_99991231,Route 1 - Green Line_Route 1 - Green Line_Havre de Grace to Belair_FF00A500,20190114_99991231_1000000,Bel Air,,0,1 - McDonald's to Mall_Jan  3 2019  3:49:08:223PM 141826,,,27562,green-3
0600 - Copy (7)_2_20190114_99991231_20190114_99991231,Route 1 - Green Line_Route 1 - Green Line_Havre de Grace to Belair_FF00A500,20190114_99991231_1000000,Bel Air,,0,1 - McDonald's to Mall_Jan  3 2019  3:49:08:223PM 141826,,,27560,green-1
0600 - Copy - Copy_2_20190114_99991231_20190114_99991231,Route 1 - Green Line_Route 1 - Green Line_Havre de Grace to Belair_FF00A500,20190114_99991231_1000000,Bel Air,,0,1 - McDonald's to Mall_Jan  3 2019  3:49:08:223PM 141826,,,27561,green-2
0800 - Copy_2_20190114_99991231_20190114_99991231,Route 1 - Green Line_Route 1 - Green Line_Havre de Grace to Belair_FF00A500,20190114_99991231_1000000,Bel Air,,0,1 - McDonald's to Mall_Jan  3 2019  3:49:08:223PM 141826,,,27562,green-3
0800 - Copy (2)_2_20190114_99991231_20190114_99991231,Route 1 - Green Line_Route 1 - Green Line_Havre de Grace to Belair_FF00A500,20190114_99991231_1000000,Bel Air,,0,1 - McDonald's to Mall_Jan  3 2019  3:49:08:223PM 141826,,,27560,green-1
0800 - Copy (3)_2_20190114_99991231_20190114_99991231,Route 1 - Green Line_Route 1 - Green Line_Havre de Grace to Belair_FF00A500,20190114_99991231_1000000,Bel Air,,0,1 - McDonald's to Mall_Jan  3 2019  3:49:08:223PM 141826,,,27561,green-2
2000_2_20190114_99991231_20190114_99991231,Route 1 - Green Line_Route 1 - Green Line_Havre de Grace to Belair_FF00A500,20190114_99991231_1000000,Aberdeen,,0,1 - McDonald's to Train Station_Jan  3 2019  3:50:32:260PM 141827,,,27562,green-3
0507_2_20190114_99991231_20190114_99991231,Route 2 - Blue Line_Route 2 - Blue Line_Joppatowne to Belair_FF0000FF,20190114_99991231_1000000,Bel Air,,0,2 - Food Lion to Mall_Jan  3 2019  4:54:47:907PM 141828,,,27630,blue-1
0520_2_20190114_99991231_20190114_99991231,Route 2 - Blue Line_Route 2 - Blue Line_Joppatowne to Belair_FF0000FF,20190114_99991231_1000000,Aberdeen,,1,2 - Walgreens to Train Station_Jan  3 2019  5:03:29:477PM 141829,,,27632,blue-3
0530_Dec 30 2018  6:22:21:960PM_2_20190114_99991231_20190114_99991231,Route 2 - Blue Line_Route 2 - Blue Line_Joppatowne to Belair_FF0000FF,20190114_99991231_1000000,Aberdeen,,1,2 - Mall to Train Station_Jan  3 2019  4:57:49:350PM 141830,,,27633,blue-4
0530 - Copy_Dec 30 2018  6:39:20:260PM_2_20190114_99991231_20190114_99991231,Route 2 - Blue Line_Route 2 - Blue Line_Joppatowne to Belair_FF0000FF,20190114_99991231_1000000,Aberdeen,,1,2 - Mall to Train Station_Jan  3 2019  4:57:49:350PM 141830,,,27630,blue-1
0530 - Copy (2)_Dec 30 2018  6:39:20:273PM_2_20190114_99991231_20190114_99991231,Route 2 - Blue Line_Route 2 - Blue Line_Joppatowne to Belair_FF0000FF,20190114_99991231_1000000,Aberdeen,,1,2 - Mall to Train Station_Jan  3 2019  4:57:49:350PM 141830,,,27631,blue-2
0530 - Copy (3)_Dec 30 2018  6:39:20:290PM_2_20190114_99991231_20190114_99991231,Route 2 - Blue Line_Route 2 - Blue Line_Joppatowne to Belair_FF0000FF,20190114_99991231_1000000,Aberdeen,,1,2 - Mall to Train Station_Jan  3 2019  4:57:49:350PM 141830,,,27632,blue-3
0530 - Copy_Dec 30 2018  6:40:37:643PM_2_20190114_99991231_20190114_99991231,Route 2 - Blue Line_Route 2 - Blue Line_Joppatowne to Belair_FF0000FF,20190114_99991231_1000000,Aberdeen,,1,2 - Mall to Train Station_Jan  3 2019  4:57:49:350PM 141830,,,27633,blue-4
0530 - Copy (2)_Dec 30 2018  6:40:37:663PM_2_20190114_99991231_20190114_99991231,Route 2 - Blue Line_Route 2 - Blue Line_Joppatowne to Belair_FF0000FF,20190114_99991231_1000000,Aberdeen,,1,2 - Mall to Train Station_Jan  3 2019  4:57:49:350PM 141830,,,27630,blue-1
0530 - Copy (3)_Dec 30 2018  6:40:37:677PM_2_20190114_99991231_20190114_99991231,Route 2 - Blue Line_Route 2 - Blue Line_Joppatowne to Belair_FF0000FF,20190114_99991231_1000000,Aberdeen,,1,2 - Mall to Train Station_Jan  3 2019  4:57:49:350PM 141830,,,27631,blue-2
0530 - Copy (4)_Dec 30 2018  6:40:37:690PM_2_20190114_99991231_20190114_99991231,Route 2 - Blue Line_Route 2 - Blue Line_Joppatowne to Belair_FF0000FF,20190114_99991231_1000000,Aberdeen,,1,2 - Mall to Train Station_Jan  3 2019  4:57:49:350PM 141830,,,27632,blue-3
0530 - Copy (5)_Dec 30 2018  6:40:37:703PM_2_20190114_99991231_20190114_99991231,Route 2 - Blue Line_Route 2 - Blue Line_Joppatowne to Belair_FF0000FF,20190114_99991231_1000000,Aberdeen,,1,2 - Mall to Train Station_Jan  3 2019  4:57:49:350PM 141830,,,27633,blue-4
0530 - Copy (6)_Dec 30 2018  6:40:37:717PM_2_20190114_99991231_20190114_99991231,Route 2 - Blue Line_Route 2 - Blue Line_Joppatowne to Belair_FF0000FF,20190114_99991231_1000000,Aberdeen,,1,2 - Mall to Train Station_Jan  3 2019  4:57:49:350PM 141830,,,27630,blue-1
0530 - Copy (7)_Dec 30 2018  6:40:37:727PM_2_20190114_99991231_20190114_99991231,Route 2 - Blue Line_Route 2 - Blue Line_Joppatowne to Belair_FF0000FF,20190114_99991231_1000000,Aberdeen,,1,2 - Mall to Train Station_Jan  3 2019  4:57:49:350PM 141830,,,27631,blue-2
0530 - Copy_Dec 30 2018  6:42:58:167PM_2_20190114_99991231_20190114_99991231,Route 2 - Blue Line_Route 2 - Blue Line_Joppatowne to Belair_FF0000FF,20190114_99991231_1000000,Aberdeen,,1,2 - Mall to Train Station_Jan  3 2019  4:57:49:350PM 141830,,,27632,blue-3
0530 - Copy (2)_Dec 30 2018  6:42:58:187PM_2_20190114_99991231_20190114_99991231,Route 2 - Blue Line_Route 2 - Blue Line_Joppatowne to Belair_FF0000FF,20190114_99991231_1000000,Aberdeen,,1,2 - Mall to Train Station_Jan  3 2019  4:57:49:350PM 141830,,,27633,blue-4
0530_Dec 30 2018  9:21:42:990PM_2_20190114_99991231_20190114_99991231,Route 2 - Blue Line_Route 2 - Blue Line_Joppatowne to Belair_FF0000FF,20190114_99991231_1000000,Bel Air,,0,2 - Train Station to Mall_Jan  4 2019  1:20:15:900PM 141831,,,27631,blue-2
0530 - Copy_Dec 30 2018  9:25:43:450PM_2_20190114_99991231_20190114_99991231,Route 2 - Blue Line_Route 2 - Blue Line_Joppatowne to Belair_FF0000FF,20190114_99991231_1000000,Bel Air,,0,2 - Train Station to Mall_Jan  4 2019  1:20:15:900PM 141831,,,27632,blue-3
