route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
8197,1,793025,Silver Spring,,0,265668,34956,2,2
8197,1,792994,Silver Spring,,0,265658,34956,2,2
8197,1,792995,Silver Spring,,0,265657,34956,2,2
8197,1,792996,Silver Spring,,0,265708,34956,2,2
8197,1,792997,Silver Spring,,0,265653,34954,2,2
8197,1,793031,Silver Spring,,0,265742,34956,2,2
8197,1,792998,Silver Spring,,0,265688,34956,2,2
8197,1,792999,Silver Spring,,0,265736,34954,2,2
8197,1,793000,Silver Spring Leland,,0,265645,34953,2,2
8197,1,793001,Silver Spring,,0,265703,34955,2,2
8197,1,793002,Silver Spring Leland,,0,265666,34953,2,2
8197,1,793003,Silver Spring,,0,265678,34955,2,2
8197,1,793004,Silver Spring Leland,,0,265652,34953,2,2
8197,1,793005,Silver Spring,,0,265677,34955,2,2
8197,1,793006,Silver Spring Leland,,0,265646,34953,2,2
8197,1,793007,Silver Spring,,0,265653,34955,2,2
8197,1,793008,Silver Spring Leland,,0,265860,34953,2,2
8197,1,793009,Silver Spring,,0,265718,34955,2,2
8197,1,792993,Silver Spring Leland,,0,265845,34953,2,2
8197,1,793011,Silver Spring,,0,265902,34955,2,2
8197,1,793010,Silver Spring Leland,,0,265805,34953,2,2
8197,1,793024,Silver Spring,,0,265845,34955,2,2
8197,1,793012,Silver Spring Leland,,0,265852,34953,2,2
8197,1,793014,Silver Spring,,0,266019,34955,2,2
8197,1,793013,Silver Spring Leland,,0,265858,34953,2,2
8197,1,793028,Silver Spring,,0,265956,34955,2,2
8197,1,793029,Silver Spring Leland,,0,265865,34953,2,2
8197,1,793030,Silver Spring,,0,265882,34955,2,2
8197,1,793016,Silver Spring Leland,,0,265821,34953,2,2
8197,1,793032,Silver Spring,,0,265880,34955,2,2
8197,1,793033,Silver Spring Leland,,0,265903,34953,2,2
8197,1,793027,Silver Spring,,0,266143,34955,2,2
8197,1,793026,Silver Spring Leland,,0,265823,34953,2,2
8197,1,793015,Silver Spring,,0,266140,34955,2,2
8197,1,793017,Silver Spring,,0,265882,34955,2,2
8197,1,793018,Silver Spring,,0,265886,34955,2,2
8197,1,793019,Silver Spring,,0,266023,34955,2,2
8197,1,793020,Silver Spring,,0,265935,34955,2,2
8197,1,793021,Silver Spring,,0,265866,34955,2,2
8197,1,793022,Silver Spring,,0,265850,34955,2,2
8197,1,793023,Silver Spring,,0,265882,34955,2,2
8197,1,793065,Friendship Heights,,1,265658,34958,2,2
8197,1,793034,Friendship Heights,,1,265653,34958,2,2
8197,1,793068,Friendship Heights,,1,265671,34958,2,2
8197,1,793064,Friendship Heights,,1,265657,34958,2,2
8197,1,793063,Friendship Heights,,1,265707,34958,2,2
8197,1,793062,Friendship Heights,,1,265669,34958,2,2
8197,1,793066,Friendship Heights,,1,265767,34958,2,2
8197,1,793067,Friendship Heights,,1,265684,34958,2,2
8197,1,793074,Friendship Heights,,1,265648,34958,2,2
8197,1,793061,Friendship Heights,,1,265742,34958,2,2
8197,1,793075,Friendship Heights via Leland,,1,265698,34957,2,2
8197,1,793060,Friendship Heights,,1,265688,34958,2,2
8197,1,793059,Friendship Heights via Leland,,1,265645,34957,2,2
8197,1,793058,Friendship Heights,,1,265778,34958,2,2
8197,1,793057,Friendship Heights via Leland,,1,265703,34957,2,2
8197,1,793056,Friendship Heights,,1,265666,34958,2,2
8197,1,793070,Friendship Heights via Leland,,1,265680,34957,2,2
8197,1,793071,Friendship Heights,,1,265678,34958,2,2
8197,1,793055,Friendship Heights via Leland,,1,265653,34957,2,2
8197,1,793054,Friendship Heights,,1,265650,34958,2,2
8197,1,793053,Friendship Heights via Leland,,1,265645,34957,2,2
8197,1,793052,Friendship Heights,,1,265709,34958,2,2
8197,1,793051,Friendship Heights via Leland,,1,265677,34957,2,2
8197,1,793050,Friendship Heights,,1,266037,34958,2,2
8197,1,793049,Friendship Heights via Leland,,1,265858,34957,2,2
8197,1,793073,Friendship Heights,,1,265875,34958,2,2
8197,1,793076,Friendship Heights via Leland,,1,265902,34957,2,2
8197,1,793048,Friendship Heights,,1,265843,34958,2,2
8197,1,793047,Friendship Heights,,1,266139,34959,2,2
8197,1,793069,Friendship Heights,,1,265956,34959,2,2
8197,1,793046,Friendship Heights,,1,266130,34958,2,2
8197,1,793045,Friendship Heights,,1,265806,34959,2,2
8197,1,793044,Friendship Heights,,1,265903,34958,2,2
8197,1,793043,Friendship Heights,,1,266132,34959,2,2
8197,1,793042,Friendship Heights,,1,266023,34958,2,2
8197,1,793041,Friendship Heights,,1,266140,34958,2,2
8197,1,793040,Friendship Heights,,1,265886,34958,2,2
8197,1,793039,Friendship Heights,,1,266023,34958,2,2
8197,1,793038,Friendship Heights,,1,265935,34958,2,2
8197,1,793037,Friendship Heights,,1,265866,34958,2,2
8197,1,793036,Friendship Heights,,1,265850,34958,2,2
8197,1,793035,Friendship Heights,,1,265882,34958,2,2
8197,1,793072,Friendship Heights,,1,265866,34958,2,2
8198,1,793582,Twinbrook,,0,265651,34960,2,2
