trip_id,start_time,end_time,headway_secs,exact_times
post_18th_2862644,06:00:00,07:00:00,900,0
post_18th_2862644,07:00:00,09:00:00,960,0
post_18th_2862644,09:00:00,14:00:00,900,0
post_18th_2862644,14:00:00,17:00:00,1080,0
post_18th_2862644,17:00:00,18:00:00,1200,0
post_18th_2862644,18:00:00,19:00:00,900,0
post_18th_2862645,09:00:00,14:00:00,900,0
post_18th_2862645,14:00:00,17:00:00,1080,0
post_18th_2862645,06:00:00,07:00:00,900,0
post_18th_2862645,07:00:00,09:00:00,960,0
post_18th_2862646,06:00:00,07:00:00,900,0
post_18th_2862646,07:00:00,09:00:00,960,0
post_18th_2862646,09:00:00,14:00:00,900,0
post_18th_2862646,14:00:00,17:00:00,1080,0
post_18th_2862646,17:00:00,18:00:00,1200,0
