trip_id,arrival_time,departure_time,stop_id,stop_sequence,timepoint
post_18th_18 NB_T01,05:30:00,05:30:00,248,0,1
post_18th_18 NB_T01,,,247,1,1
post_18th_18 NB_T01,,,226,2,1
post_18th_18 NB_T01,,,228,3,1
post_18th_18 NB_T01,,,230,4,1
post_18th_18 NB_T01,,,232,5,1
post_18th_18 NB_T01,,,234,6,1
post_18th_18 NB_T01,,,240,7,1
post_18th_18 NB_T01,,,1050,8,1
post_18th_18 NB_T01,,,1048,9,1
post_18th_18 NB_T01,,,1053,10,1
post_18th_18 NB_T01,,,1060,11,1
post_18th_18 NB_T01,,,1051,12,1
post_18th_18 NB_T01,,,1055,13,1
post_18th_18 NB_T01,,,1063,14,1
post_18th_18 NB_T01,,,1068,15,1
post_18th_18 NB_T01,,,1064,16,1
post_18th_18 NB_T01,,,1056,17,1
post_18th_18 NB_T01,,,1066,18,1
post_18th_18 NB_T01,,,1058,19,1
post_18th_18 NB_T01,05:40:00,05:40:00,631,20,1
post_18th_18 NB_T01,,,647,21,1
post_18th_18 NB_T01,,,640,22,1
post_18th_18 NB_T01,,,644,23,1
post_18th_18 NB_T01,,,646,24,1
post_18th_18 NB_T01,,,638,25,1
post_18th_18 NB_T01,,,633,26,1
post_18th_18 NB_T01,,,635,27,1
post_18th_18 NB_T01,,,157,28,1
post_18th_18 NB_T01,,,629,29,1
post_18th_18 NB_T01,05:46:00,05:46:00,609,30,1
post_18th_18 NB_T01,,,596,31,1
post_18th_18 NB_T01,,,591,32,1
post_18th_18 NB_T01,,,595,33,1
post_18th_18 NB_T01,,,594,34,1
post_18th_18 NB_T01,,,599,35,1
post_18th_18 NB_T01,,,601,36,1
post_18th_18 NB_T01,,,603,37,1
post_18th_18 NB_T01,,,605,38,1
post_18th_18 NB_T01,,,607,39,1
post_18th_18 NB_T01,,,936,40,1
post_18th_18 NB_T01,,,934,41,1
post_18th_18 NB_T01,,,940,42,1
post_18th_18 NB_T01,,,295,43,1
post_18th_18 NB_T01,,,293,44,1
post_18th_18 NB_T01,,,142,45,1
post_18th_18 NB_T01,,,300,46,1
post_18th_18 NB_T01,,,292,47,1
post_18th_18 NB_T01,,,290,48,1
post_18th_18 NB_T01,,,416,49,1
post_18th_18 NB_T01,,,414,50,1
post_18th_18 NB_T01,06:00:00,06:00:00,411,51,1
post_18th_18 NB_T01,,,92,52,1
post_18th_18 NB_T01,,,94,53,1
post_18th_18 NB_T01,,,85,54,1
post_18th_18 NB_T01,,,96,55,1
post_18th_18 NB_T01,,,98,56,1
post_18th_18 NB_T01,,,99,57,1
post_18th_18 NB_T01,,,101,58,1
post_18th_18 NB_T01,,,102,59,1
post_18th_18 NB_T01,,,83,60,1
post_18th_18 NB_T01,,,87,61,1
post_18th_18 NB_T01,,,89,62,1
post_18th_18 NB_T01,06:06:00,06:06:00,805,63,1
post_18th_18 NB_T01,,,803,64,1
post_18th_18 NB_T01,,,801,65,1
post_18th_18 NB_T01,,,799,66,1
post_18th_18 NB_T01,,,806,67,1
post_18th_18 NB_T01,,,1242,68,1
post_18th_18 NB_T01,,,1243,69,1
post_18th_18 NB_T01,,,162,70,1
post_18th_18 NB_T01,,,1245,71,1
post_18th_18 NB_T01,,,1247,72,1
post_18th_18 NB_T01,,,399,73,1
post_18th_18 NB_T01,06:11:00,06:11:00,396,74,1
post_18th_18 NB_T01,,,713,75,1
post_18th_18 NB_T01,,,716,76,1
post_18th_18 NB_T01,,,40,77,1
post_18th_18 NB_T01,,,42,78,1
post_18th_18 NB_T01,,,31,79,1
post_18th_18 NB_T01,,,35,80,1
post_18th_18 NB_T01,,,37,81,1
post_18th_18 NB_T01,,,34,82,1
post_18th_18 NB_T01,06:17:00,06:17:00,38,83,1
post_18th_18 NB_T01,,,43,84,1
post_18th_18 NB_T01,,,1529,85,1
post_18th_18 NB_T01,,,1527,86,1
post_18th_18 NB_T01,,,1532,87,1
post_18th_18 NB_T01,,,1533,88,1
post_18th_18 NB_T01,,,24,89,1
post_18th_18 NB_T01,,,893,90,1
post_18th_18 NB_T01,,,892,91,1
post_18th_18 NB_T01,,,18,92,1
post_18th_18 NB_T01,06:29:00,06:29:00,1637,93,1
post_18th_18 NB_T02,06:10:00,06:10:00,248,0,1
post_18th_18 NB_T02,,,247,1,1
post_18th_18 NB_T02,,,226,2,1
post_18th_18 NB_T02,,,228,3,1
post_18th_18 NB_T02,,,230,4,1
post_18th_18 NB_T02,,,232,5,1
post_18th_18 NB_T02,,,234,6,1
post_18th_18 NB_T02,,,240,7,1
post_18th_18 NB_T02,,,1050,8,1
post_18th_18 NB_T02,,,1048,9,1
post_18th_18 NB_T02,,,1053,10,1
post_18th_18 NB_T02,,,1060,11,1
post_18th_18 NB_T02,,,1051,12,1
post_18th_18 NB_T02,,,1055,13,1
post_18th_18 NB_T02,,,1063,14,1
post_18th_18 NB_T02,,,1068,15,1
post_18th_18 NB_T02,,,1064,16,1
post_18th_18 NB_T02,,,1056,17,1
post_18th_18 NB_T02,,,1066,18,1
post_18th_18 NB_T02,,,1058,19,1
post_18th_18 NB_T02,06:20:00,06:20:00,631,20,1
post_18th_18 NB_T02,,,647,21,1
post_18th_18 NB_T02,,,640,22,1
post_18th_18 NB_T02,,,644,23,1
post_18th_18 NB_T02,,,646,24,1
post_18th_18 NB_T02,,,638,25,1
post_18th_18 NB_T02,,,633,26,1
post_18th_18 NB_T02,,,635,27,1
post_18th_18 NB_T02,,,157,28,1
post_18th_18 NB_T02,,,629,29,1
post_18th_18 NB_T02,06:26:00,06:26:00,609,30,1
post_18th_18 NB_T02,,,596,31,1
post_18th_18 NB_T02,,,591,32,1
post_18th_18 NB_T02,,,595,33,1
post_18th_18 NB_T02,,,594,34,1
post_18th_18 NB_T02,,,599,35,1
post_18th_18 NB_T02,,,601,36,1
post_18th_18 NB_T02,,,603,37,1
post_18th_18 NB_T02,,,605,38,1
post_18th_18 NB_T02,,,607,39,1
post_18th_18 NB_T02,,,936,40,1
post_18th_18 NB_T02,,,934,41,1
post_18th_18 NB_T02,,,940,42,1
post_18th_18 NB_T02,,,295,43,1
post_18th_18 NB_T02,,,293,44,1
post_18th_18 NB_T02,,,142,45,1
post_18th_18 NB_T02,,,300,46,1
post_18th_18 NB_T02,,,292,47,1
post_18th_18 NB_T02,,,290,48,1
post_18th_18 NB_T02,,,416,49,1
post_18th_18 NB_T02,,,414,50,1
post_18th_18 NB_T02,06:42:00,06:42:00,411,51,1
post_18th_18 NB_T02,,,92,52,1
post_18th_18 NB_T02,,,94,53,1
post_18th_18 NB_T02,,,85,54,1
post_18th_18 NB_T02,,,96,55,1
post_18th_18 NB_T02,,,98,56,1
post_18th_18 NB_T02,,,99,57,1
post_18th_18 NB_T02,,,101,58,1
post_18th_18 NB_T02,,,102,59,1
post_18th_18 NB_T02,,,83,60,1
post_18th_18 NB_T02,,,87,61,1
post_18th_18 NB_T02,,,89,62,1
post_18th_18 NB_T02,06:48:00,06:48:00,805,63,1
post_18th_18 NB_T02,,,803,64,1
post_18th_18 NB_T02,,,801,65,1
post_18th_18 NB_T02,,,799,66,1
post_18th_18 NB_T02,,,806,67,1
post_18th_18 NB_T02,,,1242,68,1
post_18th_18 NB_T02,,,1243,69,1
post_18th_18 NB_T02,,,162,70,1
post_18th_18 NB_T02,,,1245,71,1
post_18th_18 NB_T02,,,1247,72,1
post_18th_18 NB_T02,,,399,73,1
post_18th_18 NB_T02,06:54:00,06:54:00,396,74,1
post_18th_18 NB_T02,,,713,75,1
post_18th_18 NB_T02,,,716,76,1
post_18th_18 NB_T02,,,40,77,1
post_18th_18 NB_T02,,,42,78,1
post_18th_18 NB_T02,,,31,79,1
post_18th_18 NB_T02,,,35,80,1
post_18th_18 NB_T02,,,37,81,1
post_18th_18 NB_T02,,,34,82,1
post_18th_18 NB_T02,07:01:00,07:01:00,38,83,1
post_18th_18 NB_T02,,,43,84,1
post_18th_18 NB_T02,,,1529,85,1
post_18th_18 NB_T02,,,1527,86,1
post_18th_18 NB_T02,,,1532,87,1
post_18th_18 NB_T02,,,1533,88,1
post_18th_18 NB_T02,,,24,89,1
post_18th_18 NB_T02,,,893,90,1
post_18th_18 NB_T02,,,892,91,1
post_18th_18 NB_T02,,,18,92,1
post_18th_18 NB_T02,07:12:00,07:12:00,1637,93,1
post_18th_18 NB_T03,06:55:00,06:55:00,248,0,1
post_18th_18 NB_T03,,,247,1,1
post_18th_18 NB_T03,,,226,2,1
post_18th_18 NB_T03,,,228,3,1
post_18th_18 NB_T03,,,230,4,1
post_18th_18 NB_T03,,,232,5,1
post_18th_18 NB_T03,,,234,6,1
post_18th_18 NB_T03,,,240,7,1
post_18th_18 NB_T03,,,1050,8,1
post_18th_18 NB_T03,,,1048,9,1
post_18th_18 NB_T03,,,1053,10,1
post_18th_18 NB_T03,,,1060,11,1
post_18th_18 NB_T03,,,1051,12,1
post_18th_18 NB_T03,,,1055,13,1
post_18th_18 NB_T03,,,1063,14,1
post_18th_18 NB_T03,,,1068,15,1
post_18th_18 NB_T03,,,1064,16,1
post_18th_18 NB_T03,,,1056,17,1
post_18th_18 NB_T03,,,1066,18,1
post_18th_18 NB_T03,,,1058,19,1
post_18th_18 NB_T03,07:06:00,07:06:00,631,20,1
post_18th_18 NB_T03,,,647,21,1
post_18th_18 NB_T03,,,640,22,1
post_18th_18 NB_T03,,,644,23,1
post_18th_18 NB_T03,,,646,24,1
post_18th_18 NB_T03,,,638,25,1
post_18th_18 NB_T03,,,633,26,1
post_18th_18 NB_T03,,,635,27,1
post_18th_18 NB_T03,,,157,28,1
post_18th_18 NB_T03,,,629,29,1
post_18th_18 NB_T03,07:12:00,07:12:00,609,30,1
post_18th_18 NB_T03,,,596,31,1
post_18th_18 NB_T03,,,591,32,1
post_18th_18 NB_T03,,,595,33,1
post_18th_18 NB_T03,,,594,34,1
post_18th_18 NB_T03,,,599,35,1
post_18th_18 NB_T03,,,601,36,1
post_18th_18 NB_T03,,,603,37,1
post_18th_18 NB_T03,,,605,38,1
post_18th_18 NB_T03,,,607,39,1
post_18th_18 NB_T03,,,936,40,1
post_18th_18 NB_T03,,,934,41,1
post_18th_18 NB_T03,,,940,42,1
post_18th_18 NB_T03,,,295,43,1
post_18th_18 NB_T03,,,293,44,1
post_18th_18 NB_T03,,,142,45,1
post_18th_18 NB_T03,,,300,46,1
post_18th_18 NB_T03,,,292,47,1
post_18th_18 NB_T03,,,290,48,1
post_18th_18 NB_T03,,,416,49,1
post_18th_18 NB_T03,,,414,50,1
post_18th_18 NB_T03,07:30:00,07:30:00,411,51,1
post_18th_18 NB_T03,,,92,52,1
post_18th_18 NB_T03,,,94,53,1
post_18th_18 NB_T03,,,85,54,1
post_18th_18 NB_T03,,,96,55,1
post_18th_18 NB_T03,,,98,56,1
post_18th_18 NB_T03,,,99,57,1
post_18th_18 NB_T03,,,101,58,1
post_18th_18 NB_T03,,,102,59,1
post_18th_18 NB_T03,,,83,60,1
post_18th_18 NB_T03,,,87,61,1
post_18th_18 NB_T03,,,89,62,1
post_18th_18 NB_T03,07:36:00,07:36:00,805,63,1
post_18th_18 NB_T03,,,803,64,1
post_18th_18 NB_T03,,,801,65,1
post_18th_18 NB_T03,,,799,66,1
post_18th_18 NB_T03,,,806,67,1
