trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,shape_id,wheelchair_accessible,bikes_allowed,block_id,block_name
post_18th_18 NB_T01,18,mtwtf,Takoma-Langley Transit Center,1804,0,18_NB 122688 175296,1,1,1804,1804
post_18th_18 NB_T02,18,mtwtf,Takoma-Langley Transit Center,1803,0,18_NB 122688 175296,1,1,1803,1803
post_18th_18 NB_T03,18,mtwtf,Takoma-Langley Transit Center,1802,0,18_NB 122688 175296,1,1,1802,1802
post_18th_18 NB_T04,18,mtwtf,Takoma-Langley Transit Center,1801,0,18_NB 122688 175296,1,1,1801,1801
post_18th_18 NB_T05,18,mtwtf,Takoma-Langley Transit Center,1804,0,18_NB 122688 175296,1,1,1804,1804
post_18th_18 NB_T06,18,mtwtf,Takoma-Langley Transit Center,1803,0,18_NB 122688 175296,1,1,1803,1803
post_18th_18 NB_T07,18,mtwtf,Takoma-Langley Transit Center,1802,0,18_NB 122688 175296,1,1,1802,1802
post_18th_18 NB_T08,18,mtwtf,Takoma-Langley Transit Center,1804,0,18_NB 122688 175296,1,1,1804,1804
post_18th_18 NB_T09,18,mtwtf,Takoma-Langley Transit Center,1802,0,18_NB 122688 175296,1,1,1802,1802
post_18th_18 NB_T10,18,mtwtf,Takoma-Langley Transit Center,1804,0,18_NB 122688 175296,1,1,1804,1804
post_18th_18 NB_T11,18,mtwtf,Takoma-Langley Transit Center,1802,0,18_NB 122688 175296,1,1,1802,1802
post_18th_18 NB_T12,18,mtwtf,Takoma-Langley Transit Center,1807,0,18_NB 122688 175296,1,1,1807,1807
post_18th_18 NB_T13,18,mtwtf,Takoma-Langley Transit Center,1804,0,18_NB 122688 175296,1,1,1804,1804
post_18th_18 NB_T14,18,mtwtf,Takoma-Langley Transit Center,1805,0,18_NB 122688 175296,1,1,1805,1805
post_18th_18 NB_T15,18,mtwtf,Takoma-Langley Transit Center,1802,0,18_NB 122688 175296,1,1,1802,1802
post_18th_18 NB_T16,18,mtwtf,Takoma-Langley Transit Center,1806,0,18_NB 122688 175296,1,1,1806,1806
post_18th_18 NB_T17,18,mtwtf,Takoma-Langley Transit Center,1804,0,18_NB 122688 175296,1,1,1804,1804
post_18th_18 SB_T01,18,mtwtf,Addison Road Metro Station,1802,1,18_SB 122689 175297,1,1,1802,1802
post_18th_18 SB_T02,18,mtwtf,Addison Road Metro Station,1801,1,18_SB 122689 175297,1,1,1801,1801
post_18th_18 SB_T03,18,mtwtf,Addison Road Metro Station,1804,1,18_SB 122689 175297,1,1,1804,1804
post_18th_18 SB_T04,18,mtwtf,Addison Road Metro Station,1803,1,18_SB 122689 175297,1,1,1803,1803
