route_id,direction_id,direction
503,0,direction 0
503,1,direction 1
502,0,direction 0
502,1,direction 1
501,0,direction 0
501,1,direction 1
414,0,direction 0
414,1,direction 1
402B,0,direction 0
402B,1,direction 1
301,0,direction 0
301,1,direction 1
302,0,direction 0
302,1,direction 1
401,0,direction 0
401,1,direction 1
402A,0,direction 0
402A,1,direction 1
403,0,direction 0
403,1,direction 1
404,0,direction 0
404,1,direction 1
405,0,direction 0
405,1,direction 1
406,0,direction 0
406,1,direction 1
407,0,direction 0
407,1,direction 1
408,0,direction 0
408,1,direction 1
409,0,direction 0
409,1,direction 1
