runs_id,service_id,block_id,run_number,piece_number,start_trip_id,start_stop_id,end_trip_id,end_stop_id
100000,c_21722_b_30444_d_31,301-1,1,1,t_1475998_b_30444_tn_1,2561389,t_1475999_b_30444_tn_13,2561389
1000000,c_21722_b_30444_d_31,406-1,10,1,t_1476492_b_30444_tn_0,2560995,t_1476494_b_30444_tn_11,2561195
1100000,c_21722_b_30444_d_31,407-1,11,1,t_1476251_b_30444_tn_0,2560962,t_1476140_b_30444_tn_8,2561195
1200000,c_21722_b_30444_d_31,407-3,12,1,t_1476139_b_30444_tn_1,2560938,t_1476138_b_30444_tn_8,2560938
1300000,c_21722_b_30444_d_31,408-1,13,1,t_1476495_b_30444_tn_0,2561133,t_1476502_b_30444_tn_0,2561150
1400000,c_21722_b_30444_d_31,408-2,14,1,t_1476498_b_30444_tn_1,2561311,t_1476499_b_30444_tn_7,2561311
1500000,c_21722_b_30444_d_31,409-1,15,1,t_1476086_b_30444_tn_1,2561389,t_1476085_b_30444_tn_7,2561389
1600000,c_21722_b_30444_d_31,409-2,16,1,t_1476087_b_30444_tn_1,2560879,t_1476084_b_30444_tn_7,2560879
1700000,c_21722_b_30444_d_31,501-1,17,1,t_1476095_b_30444_tn_1,2560816,t_1476519_b_30444_tn_0,2560816
1800000,c_21722_b_30444_d_31,501-2,18,1,t_1476098_b_30444_tn_1,2561195,t_1476520_b_30444_tn_0,2561195
1900000,c_21722_b_30444_d_31,502-1,19,1,t_1476115_b_30444_tn_1,2560816,t_1476114_b_30444_tn_2,2561389
200000,c_21722_b_30444_d_31,302-1,2,1,t_1476000_b_30444_tn_1,2561389,t_1476001_b_30444_tn_7,2561389
2000000,c_21722_b_30444_d_31,502-2,20,1,t_1476113_b_30444_tn_1,2561389,t_1476116_b_30444_tn_2,2560816
2100000,c_21722_b_30444_d_31,503-1,21,1,t_1476127_b_30444_tn_1,2561389,t_1476128_b_30444_tn_5,2561389
2200000,c_21722_b_30444_d_31,503-2,22,1,t_1476130_b_30444_tn_1,2561195,t_1476126_b_30444_tn_5,2561195
2300000,c_21722_b_30444_d_31,503-3,23,1,t_1476125_b_30444_tn_1,2561389,t_1476129_b_30444_tn_5,2561389
2400000,c_21722_b_30444_d_32,301-1,24,1,t_1475997_b_30444_tn_1,2561389,t_1475996_b_30444_tn_10,2561389
2500000,c_21722_b_30444_d_32,302-1,25,1,t_1476005_b_30444_tn_0,2561389,t_1476008_b_30444_tn_0,2561389
2600000,c_21722_b_30444_d_32,302-2,26,1,t_1476009_b_30444_tn_0,2561389,t_1476010_b_30444_tn_5,2561389
2700000,c_21722_b_30444_d_32,401-1,27,1,t_1476024_b_30444_tn_0,2561189,t_1476022_b_30444_tn_0,2561189
2800000,c_21722_b_30444_d_32,402A-1,28,1,t_1476027_b_30444_tn_1,2561195,t_1476027_b_30444_tn_10,2561318
2900000,c_21722_b_30444_d_32,403-1,29,1,t_1476037_b_30444_tn_0,2561121,t_1476041_b_30444_tn_0,2561121
300000,c_21722_b_30444_d_31,302-2,3,1,t_1476182_b_30444_tn_0,2561389,t_1476003_b_30444_tn_8,2561389
3000000,c_21722_b_30444_d_32,404-1,30,1,t_1476048_b_30444_tn_1,2561195,t_1476049_b_30444_tn_12,2561195
3100000,c_21722_b_30444_d_32,405-1,31,1,t_1476059_b_30444_tn_0,2611972,t_1476066_b_30444_tn_3,2561195
3200000,c_21722_b_30444_d_32,405-2,32,1,t_1476061_b_30444_tn_1,2561195,t_1476064_b_30444_tn_0,2611972
3300000,c_21722_b_30444_d_32,407-1,33,1,t_1476068_b_30444_tn_0,2560962,t_1476142_b_30444_tn_7,2561195
3400000,c_21722_b_30444_d_32,407-3,34,1,t_1476143_b_30444_tn_1,2560938,t_1476144_b_30444_tn_7,2560938
3500000,c_21722_b_30444_d_32,408-1,35,1,t_1476503_b_30444_tn_0,2561133,t_1476508_b_30444_tn_0,2561150
3600000,c_21722_b_30444_d_32,408-2,36,1,t_1476509_b_30444_tn_1,2561311,t_1476510_b_30444_tn_6,2561311
3700000,c_21722_b_30444_d_32,409-1,37,1,t_1476089_b_30444_tn_1,2561389,t_1476089_b_30444_tn_6,2560879
3800000,c_21722_b_30444_d_32,409-2,38,1,t_1476091_b_30444_tn_0,2560879,t_1476093_b_30444_tn_5,2561389
3900000,c_21722_b_30444_d_32,501-1,39,1,t_1476103_b_30444_tn_0,2560816,t_1476521_b_30444_tn_0,2561195
400000,c_21722_b_30444_d_31,401-1,4,1,t_1476016_b_30444_tn_0,2561189,t_1476015_b_30444_tn_0,2561189
4000000,c_21722_b_30444_d_32,501-2,40,1,t_1476102_b_30444_tn_1,2560816,t_1476522_b_30444_tn_0,2560816
4100000,c_21722_b_30444_d_32,502-1,41,1,t_1476123_b_30444_tn_1,2561389,t_1476123_b_30444_tn_9,2560816
4200000,c_21722_b_30444_d_32,503-1,42,1,t_1476134_b_30444_tn_1,2561389,t_1476132_b_30444_tn_4,2561389
4300000,c_21722_b_30444_d_32,503-2,43,1,t_1476131_b_30444_tn_1,2561195,t_1476136_b_30444_tn_4,2561195
4400000,c_21722_b_30444_d_32,503-3,44,1,t_1476135_b_30444_tn_1,2561389,t_1476135_b_30444_tn_4,2561195
4500000,c_21722_b_30444_d_64,302-1,45,1,t_1476012_b_30444_tn_1,2561389,t_1476013_b_30444_tn_9,2561389
4600000,c_21722_b_30444_d_64,401-1,46,1,t_1476021_b_30444_tn_0,2561189,t_1476017_b_30444_tn_0,2561189
4700000,c_21722_b_30444_d_64,402A-1,47,1,t_1476030_b_30444_tn_1,2561195,t_1476030_b_30444_tn_9,2561318
4800000,c_21722_b_30444_d_64,403-1,48,1,t_1476038_b_30444_tn_0,2561121,t_1476043_b_30444_tn_0,2561121
4900000,c_21722_b_30444_d_64,404-1,49,1,t_1476046_b_30444_tn_1,2561195,t_1476047_b_30444_tn_9,2561195
500000,c_21722_b_30444_d_31,402A-1,5,1,t_1476026_b_30444_tn_1,2561195,t_1476026_b_30444_tn_11,2561318
5000000,c_21722_b_30444_d_64,405-1,50,1,t_1476067_b_30444_tn_1,2561195,t_1476050_b_30444_tn_9,2561195
5100000,c_21722_b_30444_d_64,407-1,51,1,t_1476069_b_30444_tn_0,2560962,t_1476145_b_30444_tn_6,2560938
5200000,c_21722_b_30444_d_64,407-2,52,1,t_1476147_b_30444_tn_1,2560938,t_1476149_b_30444_tn_0,2560962
5300000,c_21722_b_30444_d_64,408-1,53,1,t_1476511_b_30444_tn_0,2561133,t_1476512_b_30444_tn_6,2561311
5400000,c_21722_b_30444_d_64,408-2,54,1,t_1476514_b_30444_tn_1,2561311,t_1476516_b_30444_tn_0,2561150
5500000,c_21722_b_30444_d_64,501-1,55,1,t_1476111_b_30444_tn_1,2560816,t_1476111_b_30444_tn_6,2561195
5600000,c_21722_b_30444_d_64,501-2,56,1,t_1476109_b_30444_tn_1,2561195,t_1476112_b_30444_tn_5,2561195
5700000,c_21722_b_30444_d_64,502-1,57,1,t_1476121_b_30444_tn_1,2561389,t_1476122_b_30444_tn_7,2561389
600000,c_21722_b_30444_d_31,403-1,6,1,t_1476036_b_30444_tn_0,2561121,t_1476035_b_30444_tn_0,2561121
700000,c_21722_b_30444_d_31,404-1,7,1,t_1476044_b_30444_tn_1,2561195,t_1476045_b_30444_tn_16,2561195
800000,c_21722_b_30444_d_31,405-1,8,1,t_1476055_b_30444_tn_1,2561195,t_1476054_b_30444_tn_0,2611972
900000,c_21722_b_30444_d_31,405-2,9,1,t_1476517_b_30444_tn_0,2611972,t_1476057_b_30444_tn_3,2561195
