stop_id,stop_city
2560991,Columbia
2560920,Laurel
2561184,Columbia
2560980,Columbia
2561254,Sunnyside
2560760,Columbia
2561126,Columbia
2560893,Columbia
2561062,Columbia
2561238,Sunnyside
2561164,Columbia
2560778,Laurel
2561016,Columbia
2561173,Columbia
2560800,Georgetown
2561356,Laurel
2560749,Glenshire Towne
2562453,Georgetown
2560914,Whitehurst
2560849,Whitehurst
2561196,Konterra
2561070,Columbia
2561227,Laurel
2560888,Columbia
2561236,Konterra
2561010,Columbia
2560829,Columbia
2561255,Sunnyside
2561150,Columbia
2560990,Columbia
2561338,Columbia
2560973,Columbia
2561210,Laurel
2561079,Ellicott City
2560948,Columbia
2560814,Laurel
2561056,Ellicott City
2561335,Guilford
2562450,Columbia
2560798,Georgetown
2562451,Columbia
2561383,Laurel
2560870,Columbia
2561121,Ellicott City
2561046,Ellicott City
2561251,Greenbelt
2560896,Columbia
2561013,Columbia
2560780,Laurel
2561285,Laurel
2560772,Georgetown
2560994,Columbia
2561064,Columbia
2561041,Ellicott City
2562462,Columbia
2561169,Columbia
2560763,Columbia
2561193,Columbia
2560965,Columbia
2560818,Columbia
2560983,Columbia
2561276,Konterra
2561167,Columbia
2560774,Georgetown
2560747,Glen Oaks
2560762,Columbia
2561034,Ellicott City
2561311,Waterloo
2561104,Columbia
2561033,Ellicott City
2561053,Ellicott City
2561224,Laurel
2561261,Vansville
2561326,Columbia
2560986,Columbia
2561341,Columbia
2562455,Columbia
2561312,Waterloo
2560788,Holiday Mobile Home Estates
2561103,Columbia
2560711,Glenshire Towne
2560741,Russett
2560743,Russett
2561182,Columbia
2560753,Glenshire Towne
2560941,Columbia
2560779,Laurel
2561163,Columbia
2560837,Columbia
2561354,Laurel
2562459,Columbia
2561351,Laurel
2561042,Ellicott City
2561117,Ellicott City
2561275,South Laurel
2561321,Columbia
2560717,Glenshire Towne
2560754,Glenshire Towne
2561005,Columbia
2561037,Ellicott City
2561334,Guilford
2560898,Columbia
2561174,Columbia
2561230,Laurel
2560735,Laurel
2560815,Laurel
2561036,Ellicott City
2561155,Columbia
2561040,Ellicott City
2561257,Chestnut Hills
2560723,North Laurel
2561339,Columbia
2561279,Konterra
2561030,Ellicott City
2560724,North Laurel
2560881,Wesley Grove
2560839,Columbia
2560917,Snow Hill Manor
2561009,Columbia
2560729,Laurel
2561140,Columbia
2560992,Columbia
2561087,Columbia
2561369,Villages of Montpelier
2561232,Contee
2561233,Konterra
2561096,Columbia
2561340,Columbia
2560793,Holiday Mobile Home Estates
2560864,Columbia
2561272,Sunnyside
2560895,Springwood
2560873,Wesley Grove
2560841,Columbia
2560868,Waterloo
2560858,Columbia
2561239,Sunnyside
2560813,Snow Hill Manor
2560764,Columbia
2561100,Columbia
2561203,Greenbelt
2561284,Laurel
2561353,Laurel
2561115,Ellicott City
2561024,Ellicott City
2560910,Columbia
2561301,Columbia
2560933,Guilford
2560784,Russett
2560945,Columbia
2561017,Columbia
2561191,Columbia
2561266,Vansville
2561084,Columbia
2561120,Ellicott City
2561029,Ellicott City
2560736,Laurel Oaks
2561153,Columbia
2561368,South Laurel
2561060,Columbia
2560771,Georgetown
2561273,South Laurel
2561192,Columbia
2561002,Columbia
2561145,Columbia
2561095,Columbia
2561039,Ellicott City
2560952,Guilford
