stop_id,stop_code,platform_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,position,direction,wheelchair_boarding
2560710,40145,,Guilford Rd / 12 Sons Ct,,39.156846,-76.821416,,,0,,America/New_York,,,0
2560711,40192,,Morningside Park Apartments,,39.153835,-76.820326,,,0,,America/New_York,,,0
2560712,40838,,Vollmerhausen Rd / Willowwood Way,,39.149038,-76.818418,,,0,,America/New_York,,,0
2560713,40142,,Vollmerhausen Rd / Castleford Dr,,39.148593,-76.82045,,,0,,America/New_York,,,0
2560714,42025,,Savage Guilford Rd / Patuxent Valley Middle School (Northbound),,39.147573,-76.826806,,,0,,America/New_York,,,0
2560715,40196,,Savage Guilford Rd / Lincoln St (Northbound),,39.14048,-76.824442,,,0,,America/New_York,,,0
2560716,40139,,Savage Guilford Rd / Baltimore St (Northbound),,39.138237,-76.824051,,,0,,America/New_York,,,0
2560717,40594,,Foundry St / Washington St (Northbound),,39.136887,-76.825247,,,0,,America/New_York,,,0
2560718,42008,,Gorman Rd / Foundry St (Eastbound),,39.133749,-76.825437,,,0,,America/New_York,,,0
2560719,42010,,Gorman Rd / Rock Ripple Ln (Eastbound),,39.133323,-76.835366,,,0,,America/New_York,,,0
2560720,40496,,Gorman Rd / Shantha Ct (Eastbound),,39.135294,-76.842903,,,0,,America/New_York,,,0
2560721,40494,,Stephens Rd / Hammonds Overlook Ct,,39.128098,-76.845475,,,0,,America/New_York,,,0
2560722,40107,,Whiskey Bottom Rd / All Saints Rd,,39.125156,-76.843111,,,0,,America/New_York,,,0
2560723,40498,,All Saints Rd / North Laurel Rd (Eastbound),,39.121347,-76.84752,,,0,,America/New_York,,,0
2560724,42001,,All Saints Rd / Covered Wagon Dr,,39.119952,-76.849995,,,0,,America/New_York,,,0
2560725,43034,,7th St / Baltimore Ave,,39.110892,-76.852836,,,0,,America/New_York,,,0
2560726,30011,,8th St / Laurel Ave (Northbound),,39.105111,-76.856847,,,0,,America/New_York,,,0
2560727,30013,,8th St / West St (Northbound),,39.103172,-76.857239,,,0,,America/New_York,,,0
2560728,30016,,8th St / Laurelton Court Apartments,,39.10054,-76.85778,,,0,,America/New_York,,,0
2560729,30111,,Montrose Ave / 7th St (Westbound),,39.098764,-76.857747,,,0,,America/New_York,,,0
2560730,30110,,Montrose Ave / 7th St (Eastbound),,39.098637,-76.857772,,,0,,America/New_York,,,0
2560731,30015,,8th St / Laurel Park Apartments,,39.100424,-76.857959,,,0,,America/New_York,,,0
2560732,30014,,8th St / West St (Southbound),,39.103168,-76.857403,,,0,,America/New_York,,,0
2560733,30012,,8th St / Laurel Ave (Southbound),,39.105323,-76.856942,,,0,,America/New_York,,,0
2560735,30010,,7th St / Main St (Southbound),,39.108168,-76.854359,,,0,,America/New_York,,,0
